youtube.com      IP is: 172.217.9.46
gismeteo.ua      IP is: 92.60.184.63
twitter.com      IP is: 104.244.42.1
facebook.com     IP is: 157.240.26.35
f.ua             IP is: 195.26.85.200
rozetka.com.ua   IP is: 78.27.198.50
sinoptik.ua      IP is: 212.42.76.150
github.com       IP is: 140.82.112.3
amazon.com       IP is: 176.32.103.205
sony.ua          IP is: 54.208.238.47
netflix.com      IP is: 54.85.109.5
megogo.net       IP is: 194.145.202.236
kyivstar.ua      IP is: 94.153.165.5
oracle.com       IP is: 137.254.120.50
mail.ru          IP is: 217.69.139.202
javarush.ru      IP is: 18.196.51.113
tiktok.com       IP is: 130.44.212.186
instagram.com    IP is: 3.223.74.156
telegram.org     IP is: 149.154.167.99
